,category,hasContent,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,sentimentTitle,sentimentText,TitleMatchPicOCR,TextMatchPic,CreatorMatchTitle,NumOfObjectsInPic,lengthOfTitle,lengthOfText,successful
143,Music,1,1,0,1,1,1,0,0.5,1,0,0,0,9,35,126,1
144,Publishing,1,0,0,1,0,0,1,0.0,0,0,0,0,11,37,102,1
145,Comics,1,1,0,1,1,0,1,0.0,1,0,0,1,7,50,120,1
146,Music,1,0,0,0,1,0,0,0.5,0.5,0,0,0,0,31,91,1
147,Art,0,1,1,1,1,0,0,0.5,0.5,0,0,0,22,25,133,1
148,Food,1,0,0,1,1,0,1,0.5,0.5,0,0,0,13,50,131,1
149,Art,1,0,0,1,1,0,1,0.5,0.5,0,1,0,18,33,114,1
150,Film & Video,1,0,0,0,1,0,0,1.0,0.5,0,0,0,4,30,135,0
151,Food,1,0,0,1,1,0,1,0.5,0.5,0,0,0,2,25,135,1
152,Film & Video,0,0,0,1,1,0,1,0.5,1,0,0,0,14,26,98,1
153,Comics,1,1,0,1,1,0,1,0.5,0.5,0,0,0,13,50,134,1
154,Film & Video,1,0,0,1,1,0,1,0.5,1,0,0,0,2,15,130,1
155,Publishing,0,1,0,1,1,0,1,0.5,1,0,1,0,17,33,88,1
156,Crafts,0,0,0,1,1,0,1,0.5,0.5,0,0,0,18,5,24,0
157,Art,0,0,0,0,1,0,0,0.5,1,0,0,0,0,30,130,1
158,Publishing,0,0,0,1,1,0,0,0.5,1,0,0,0,5,25,121,1
159,Food,1,0,0,1,1,0,1,0.5,1,0,0,0,23,32,134,0
160,Comics,0,1,0,1,0,0,0,0.5,0.5,0,0,0,13,33,82,1
161,Publishing,0,0,0,0,1,0,0,0.0,1,0,0,0,0,44,133,1
162,Publishing,1,0,0,1,0,1,1,0.5,0.5,0,1,0,15,27,135,1
163,Film & Video,1,0,0,1,1,0,1,0.5,0.5,0,0,0,1,42,89,1
164,Games,1,0,0,1,1,0,0,0.5,1,0,0,0,2,32,128,1
165,Art,1,0,0,1,1,0,1,0.5,0.5,0,1,0,21,35,133,1
166,Food,1,1,0,1,1,1,0,0.5,0.5,0,0,0,18,50,135,1
167,Art,1,0,0,0,1,0,0,0.0,0,0,0,0,14,50,98,1
168,Comics,1,0,0,1,1,0,1,0.5,0.5,0,0,0,14,26,118,1
169,Games,1,0,0,1,0,0,1,0.5,1,0,0,0,1,40,132,1
170,Film & Video,1,1,0,1,0,0,0,0.5,0,0,1,0,23,50,99,1
171,Photography,1,0,0,0,1,0,0,0.5,1,0,1,0,27,27,50,0
172,Photography,1,0,0,1,1,0,0,0.5,0.5,0,0,0,26,50,129,1
173,Comics,0,0,0,1,1,1,1,0.5,0,0,0,0,23,21,131,1
174,Comics,1,1,0,1,1,1,0,0.5,0.5,0,0,0,17,26,134,1
175,Food,1,0,0,0,1,0,0,0.5,0.5,0,0,0,0,10,135,0
176,Games,1,1,0,1,1,0,0,0.5,0.5,0,0,0,24,56,49,1
177,Art,1,1,1,1,1,0,0,1.0,1,0,0,0,23,35,133,1
178,Film & Video,0,0,0,1,1,0,1,0.5,mixed,0,0,0,17,50,132,1
179,Food,1,0,0,1,1,0,1,0.5,1,0,0,0,16,42,133,0
180,Games,0,0,0,1,1,1,1,0.5,0,0,0,0,2,49,128,1
181,Publishing,1,0,0,0,1,0,0,0.0,0,0,1,0,21,50,133,1
182,Food,1,0,0,1,1,1,1,0.5,0.5,0,0,0,16,36,49,1
183,Art,1,0,0,1,0,0,1,0.5,0.5,0,1,0,12,50,123,1
184,Comics,1,0,0,1,1,0,0,0.0,0,0,0,0,1,28,134,1
185,Publishing,0,0,0,0,1,0,0,0.5,0,0,0,0,0,44,117,0
186,Comics,1,0,0,1,0,0,0,0.5,0,0,0,0,5,42,125,1
187,Film & Video,0,0,0,0,1,0,0,0.5,0.5,0,0,0,19,22,100,1
188,Games,0,0,0,1,0,0,0,1.0,1,0,0,1,10,16,74,1
189,Music,1,1,1,1,0,0,0,0.5,0,0,0,0,19,29,82,1
190,Publishing,1,0,0,1,1,0,0,0.5,0.5,0,0,0,2,49,90,1
191,Games,0,1,0,1,0,0,1,0.0,0,0,0,0,19,12,89,1
192,Food,1,0,0,0,1,0,0,0.5,0.5,0,1,0,9,38,135,0
193,Games,0,0,0,0,1,0,0,0.0,0.5,0,0,0,0,25,28,1
194,Photography,1,0,0,1,1,0,1,1.0,1,0,1,0,17,33,116,0
195,Film & Video,1,0,0,1,0,0,1,0.0,1,0,0,0,31,41,115,1
196,Crafts,1,0,0,1,1,0,1,0.5,0.5,0,1,0,16,46,109,0
197,Photography,1,1,0,1,1,1,1,0.5,0.5,0,0,0,14,50,134,1
198,Film & Video,0,0,0,1,1,0,1,1.0,1,0,0,0,3,36,134,0
199,Comics,1,1,0,1,1,0,0,0.5,0.5,0,0,0,0,43,121,1
200,Publishing,1,0,0,1,1,0,0,1.0,1,0,0,0,14,50,128,0
201,Photography,1,0,0,1,0,0,1,0.5,0.5,0,0,0,9,10,94,0
202,Games,1,0,0,1,1,0,0,0.5,0,0,0,0,9,54,108,1
203,Film & Video,1,1,0,1,1,0,1,0.5,0,0,0,0,1,20,103,1
204,Comics,1,0,0,1,0,0,1,0.5,0,0,0,0,2,41,130,1
205,Publishing,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,37,124,0
206,Food,0,0,0,1,1,0,0,0.5,0.5,0,0,0,14,50,135,1
207,Comics,1,1,0,1,0,0,1,0.5,0,0,0,0,25,39,123,1
208,Food,1,0,0,1,1,0,1,0.5,0.5,0,0,0,15,25,81,1
209,Photography,1,0,0,1,1,1,1,0.5,1,0,0,0,26,39,52,0
210,Publishing,0,0,0,1,1,0,0,0.5,0.5,0,1,0,3,36,134,0
211,Photography,1,0,0,1,1,0,0,0.5,1,0,1,1,20,25,109,1
212,Art,1,0,0,0,1,0,0,0.5,0.5,0,0,0,0,16,127,0
213,Film & Video,1,1,1,1,1,0,0,0.5,0.5,0,1,0,20,22,118,1
214,Comics,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,39,33,1
215,Art,0,0,0,0,1,0,0,0.0,0.5,0,0,0,0,29,95,0
216,Film & Video,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,24,104,1
217,Publishing,1,0,0,0,1,0,0,0.5,0.5,0,0,0,1,12,102,1
218,Photography,1,0,0,1,1,0,1,0.0,1,0,0,0,6,45,126,1
219,Photography,1,1,0,1,1,0,1,0.5,0.5,0,0,0,17,46,133,1
220,Photography,1,0,0,1,0,0,1,0.5,0.5,0,0,1,28,50,132,1
221,Food,1,0,0,1,1,0,0,0.5,0.5,0,0,0,20,22,111,0
222,Comics,0,0,0,0,1,0,0,0.0,0.5,0,0,1,7,34,130,1
223,Games,0,1,0,1,1,0,0,0.5,0.5,0,0,0,9,47,45,1
224,Film & Video,0,0,0,1,1,0,0,0.5,1,0,0,0,1,15,85,1
225,Food,1,1,1,1,0,0,1,0.5,0.5,0,1,1,28,46,133,1
226,Food,1,0,0,1,1,1,1,0.5,1,0,0,0,24,50,135,1
227,Publishing,1,0,0,0,1,0,0,0.5,0.5,0,0,0,0,47,125,1
228,Publishing,0,0,0,1,1,0,1,0.0,mixed,0,0,0,12,14,123,0
229,Art,1,0,0,1,1,0,1,0.0,0,0,0,0,2,19,125,0
230,Publishing,0,0,0,1,1,0,0,0.5,0,0,0,0,1,50,126,0
231,Film & Video,1,1,0,1,1,1,0,0.5,1,0,0,0,23,15,128,0
232,Food,1,0,0,1,1,0,0,0.5,1,0,1,0,22,12,58,0
233,Games,1,0,0,1,1,0,1,0.0,0,0,0,0,4,53,94,1
234,Publishing,1,1,1,1,1,0,1,0.5,0.5,0,0,0,1,31,116,1
235,Art,1,0,0,1,1,0,0,0.5,0,0,0,0,32,21,134,0
236,Comics,1,1,1,1,1,0,1,0.0,0,0,0,0,22,38,131,1
237,Music,1,0,0,1,1,0,0,0.5,0,0,0,0,6,38,114,0
238,Film & Video,1,0,0,1,1,0,1,0.5,1,0,0,0,20,11,135,1
239,Crafts,1,0,0,1,1,0,0,0.5,0.5,0,0,0,27,41,45,0
240,Film & Video,1,0,0,1,1,0,0,1.0,0,0,0,0,12,22,114,1
241,Publishing,0,0,0,0,1,0,0,0.5,mixed,0,0,0,0,9,131,0
242,Photography,1,0,0,1,1,0,1,0.5,1,0,0,0,27,18,128,0
243,Art,0,0,0,1,1,0,1,0.5,0.5,0,0,0,22,49,135,1
244,Film & Video,1,1,0,1,1,0,0,0.5,0.5,0,0,0,18,37,134,1
245,Publishing,1,1,0,1,1,0,1,0.5,1,0,1,0,16,50,134,1
246,Publishing,0,0,0,1,1,0,0,0.5,0.5,0,0,0,9,50,17,0
247,Food,0,0,0,1,1,0,0,0.5,1,0,0,0,19,46,133,0
248,Games,0,1,0,1,1,0,1,0.5,0.5,0,0,0,13,43,39,1
249,Comics,1,0,0,1,1,0,1,0.5,0,0,0,0,1,47,79,1
250,Music,1,1,0,1,0,0,0,0.5,1,0,0,0,24,33,118,1
251,Photography,1,0,0,0,1,0,0,0.5,0.5,0,0,0,0,40,105,1
252,Music,0,0,0,1,0,0,0,0.5,0.5,0,0,0,9,50,97,1
253,Art,1,1,0,1,1,0,1,0.5,0,0,0,0,19,34,122,0
254,Comics,1,1,0,1,1,0,0,0.5,0.5,0,0,0,13,32,131,0
255,Food,1,0,0,1,1,0,0,1.0,0.5,0,0,1,16,50,124,0
256,Games,0,0,0,1,1,0,0,0.5,0.5,0,0,0,12,27,99,1
257,Art,0,0,0,0,1,0,0,0.5,0.5,0,0,0,1,17,98,0
258,Photography,1,0,0,1,1,0,0,0.5,0.5,0,1,0,22,11,126,0
259,Photography,1,0,0,1,1,0,1,0.5,0.5,0,0,0,1,50,101,0
260,Publishing,1,1,0,0,1,0,0,0.5,1,0,1,0,24,26,131,1
261,Publishing,1,0,0,0,1,0,0,0.5,0.5,0,0,0,17,35,122,1
262,Art,1,0,0,1,1,1,1,0.5,0.5,0,0,0,19,50,129,1
263,Food,1,0,0,1,0,0,1,0.0,1,0,0,0,4,31,135,1
264,Art,0,0,0,1,1,0,0,1.0,0.5,0,0,0,21,20,114,1
265,Comics,1,0,0,1,1,1,1,0.0,0,0,0,0,15,50,82,1
266,Publishing,1,1,0,1,1,0,1,0.5,1,0,0,0,23,25,122,0
267,Publishing,1,0,0,0,1,0,0,0.5,0.5,0,0,0,1,38,121,1
268,Food,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,44,70,0
269,Food,0,0,0,1,1,0,1,0.5,0.5,0,0,0,21,29,70,1
270,Photography,1,0,0,0,1,0,0,0.5,0.5,0,0,0,7,50,134,1
271,Art,1,1,0,1,1,0,1,0.5,0.5,0,0,0,14,41,124,1
272,Games,0,0,0,0,1,0,0,0.0,0,0,0,0,0,15,127,1
273,Art,1,0,0,1,1,0,1,0.5,1,0,0,0,36,50,126,1
