,category,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,NumOfObjectsInPic,CLASS_positiveTitle,CLASS_neutralTitle,CLASS_negativeTitle,CLASS_positiveText,CLASS_neutralText,CLASS_negativeText,lengthOfTitle,lengthOfText,TitleMatchPicOCR,CreatorMatchTitle,TextMatchPic,CON_numOfImg,CON_numOfRewards,CON_hasVideo,CON_text_Length,CON_numOfFbFriends,CON_experience,CON_goal,CON_duration,successful
101,Publishing,0,0,1,1,0,1,14,0,1,0,1,0,0,20,132,0,0,0,1,15,1,0,1781,0,15000,30,1
102,Games,0,0,1,1,0,0,3,0,1,0,0,1,0,50,135,0,0,0,12,11,1,6380,316,0,4000,30,1
103,Games,1,0,1,1,0,1,19,0,0,1,0,0,1,47,114,1,0,0,21,8,1,5015,0,3,6000,31,1
104,Publishing,0,0,0,1,0,0,0,0,1,0,1,0,0,50,117,0,0,0,5,9,1,2347,264,0,5000,32,1
105,Games,0,0,1,1,0,0,2,0,1,0,0,1,0,20,126,0,0,0,4,10,1,457,87,0,35000,45,0
106,Publishing,1,0,1,1,0,1,12,1,0,0,1,0,0,47,132,0,0,0,4,11,1,3023,0,0,14500,30,0
107,Technology,0,0,1,1,1,0,9,0,1,0,0,1,0,36,117,0,0,0,1,5,0,171,0,0,3000,30,0
108,Games,0,0,1,1,1,1,0,0,1,0,0,1,0,32,106,0,0,0,1,3,0,2858,0,0,1500,60,0
109,Art,1,1,1,1,0,1,28,0,1,0,1,0,0,50,134,0,0,0,4,4,0,6083,0,0,5500,40,0
110,Art,1,0,1,0,0,1,17,0,1,0,1,0,0,50,134,0,0,0,1,5,0,1009,0,0,4999,30,0
111,Games,1,0,1,1,0,1,20,0,1,0,0,1,0,20,102,0,0,0,30,13,1,14648,0,2,12000,32,1
112,Technology,0,0,1,1,1,1,1,0,1,0,0,1,0,32,132,1,0,0,28,9,1,0,0,0,90000,45,0
113,Design,1,0,1,1,0,1,33,0,1,0,0,1,0,31,99,0,0,0,6,4,1,1430,0,0,563,15,0
114,Design,0,0,1,1,0,0,18,0,0,1,0,0,1,18,39,0,0,0,12,24,1,0,0,0,10000,30,1
115,Art,0,0,1,1,0,1,16,0,1,0,1,0,0,49,131,0,0,0,1,1,0,815,0,0,2000,10,0
116,Film & Video,0,0,1,1,0,0,9,0,0,1,0,0,1,22,130,0,0,0,1,16,1,2799,0,0,12500,60,1
117,Technology,0,0,0,1,0,0,10,1,0,0,1,0,0,50,128,0,0,0,21,17,1,5192,0,3,7000,40,1
118,Food,0,0,1,1,0,0,1,1,0,0,1,0,0,18,129,1,0,0,1,5,0,671,0,0,2000,45,1
119,Publishing,0,0,1,1,0,1,9,0,1,0,0,1,0,47,130,0,0,0,8,9,0,4862,0,0,15000,30,0
120,Design,1,0,1,1,1,1,2,0,1,0,0,1,0,43,48,0,0,0,9,12,1,2325,592,5,500,60,1
121,Comics,0,0,0,1,0,0,3,0,1,0,1,0,0,46,131,0,0,0,6,12,1,2978,0,0,4500,30,1
122,Music,1,1,1,0,0,1,18,0,1,0,0,1,0,7,52,1,0,0,6,6,1,5105,0,0,1500,21,1
123,Technology,0,0,1,1,0,1,17,0,1,0,1,0,0,46,96,0,0,1,50,21,1,4766,0,0,50000,45,1
124,Publishing,0,0,1,0,1,1,7,0,0,1,0,0,1,50,75,0,0,0,1,12,1,6178,3842,0,40000,29,1
125,Music,0,0,1,1,0,0,14,1,0,0,0,1,0,47,135,0,0,0,1,15,1,1285,0,0,5000,30,0
126,Publishing,0,0,1,1,0,1,8,0,1,0,0,1,0,50,129,0,0,0,1,3,0,1708,0,0,2800,30,0
127,Music,1,0,1,1,0,1,13,0,1,0,0,1,0,44,84,1,0,0,1,15,1,2075,3220,2,5000,21,1
128,Film & Video,1,1,1,1,0,1,0,0,1,0,0,0,1,37,133,0,0,0,6,14,0,5698,0,0,23000,60,1
129,Publishing,1,1,1,1,0,0,5,0,1,0,0,1,0,50,133,1,1,0,9,6,1,4540,834,0,1000,30,1
130,Design,1,0,1,1,0,0,2,0,1,0,0,1,0,50,130,1,0,0,26,13,1,7085,0,2,4500,30,1
131,Art,0,0,1,1,0,1,13,0,1,0,0,1,0,19,129,1,0,0,1,6,0,1881,0,2,4000,30,1
132,Food,0,0,1,1,0,1,16,0,1,0,0,1,0,26,68,0,0,0,14,11,0,2616,0,0,10000,60,0
