,category,duration,success,goal,pledged,backers,%pledged
2457,Publishing,31,successful,5500,5670.0,84,103.09
2458,Music,21,successful,800,800.0,16,100.0
2459,Art,24,successful,20000,23082.0,163,115.41
2460,Art,60,failed,1979,1509.0,38,76.25
2461,Music,34,failed,4000,1000.0,17,25.0
2462,Technology,20,successful,6000,136000.0,1325,2266.67
2463,Music,33,successful,2800,2810.0,27,100.36
2464,Film & Video,7,successful,300,851.0,15,283.67
2465,Fashion,20,successful,1300,20432.0,487,1571.69
2466,Music,35,successful,1000,1045.0,21,104.5
2467,Food,13,successful,7000,7461.0,105,106.59
2468,Art,30,failed,1500,100.0,1,6.67
2469,Theater,15,failed,20000,15.0,1,0.07
2470,Food,30,failed,5000,0.0,0,0.0
2471,Food,30,failed,45000,100.0,1,0.22
2472,Art,24,successful,10000,46700.0,214,467.0
2473,Fashion,60,failed,20500,0.0,0,0.0
2474,Music,46,successful,6000,6025.12,63,100.42
2475,Art,27,successful,12000,12442.12,86,103.68
2476,Food,55,failed,12000,30.0,6,0.25
2477,Technology,30,failed,11200,127.0,7,1.13
2478,Publishing,33,successful,2200,2402.0,39,109.18
2479,Food,60,failed,75000,1.0,1,0.0
2480,Art,60,failed,100000,11.0,2,0.01
2481,Art,8,successful,500,707.0,26,141.4
2482,Music,29,successful,6000,6653.0,133,110.88
2483,Music,29,successful,1750,1880.0,32,107.43
2484,Film & Video,30,failed,100000,0.0,0,0.0
2485,Publishing,25,successful,3000,3660.0,57,122.0
2486,Film & Video,30,successful,33000,34253.0,196,103.8
2487,Art,30,successful,8800,9876.0,144,112.23
2488,Film & Video,30,successful,24500,25532.0,161,104.21
2489,Technology,30,successful,935,4525.0,103,483.96
2490,Food,30,failed,5500,6.0,2,0.11
2491,Publishing,45,failed,1000,115.0,10,11.5
2492,Film & Video,30,failed,50000,2375.0,42,4.75
2493,Comics,33,successful,1200,1271.0,34,105.92
2494,Music,30,successful,5000,5072.0,69,101.44
2495,Music,30,successful,5000,5091.99,49,101.84
2496,Publishing,28,successful,4500,5128.0,55,113.96
2497,Fashion,20,successful,950,2200.0,90,231.58
2498,Food,45,failed,15000,113.0,7,0.75
2499,Theater,19,successful,12000,13109.0,65,109.24
2500,Music,30,failed,70000,1.0,1,0.0
2501,Art,27,successful,350,501.0,24,143.14
2502,Art,45,failed,10000,350.0,4,3.5
